.login.rc*,If you login with csh, this gets run.  sets env, other interesting things. Manipulates todo and a done.  
.places
.subscribers
.tia
accounts*,give a list of accounts from passwd file.  Not sure of accuracy on Mac.
activate.awk*
activate.db
activate.list*
active.perl,Goes through passwd file and prints information.  Isn’t valid on mac.
adder*,Script to do sums?  fails.
Alert.test*,The output from a script that does alerts?
awk.file,Prints out “records” that have RSP in field 10
bell*,Rings bell
cdfuncs*,directory manipulation replaces cd if run in csh
checkfor*,Checks which users have logged in a various computers in science ed building.
checktmp*,Checks the tmp space on a list of provided hosts, e.g. checktmp xanadu woo-laptop.  Uses rsh to try to connect
chk_free*,Checks the science ed hosts for their free space.
chk_locked*,Lists the locked accounts on the host via the netinfo nidump passwd.  Won’t work on mac.
chk_logins*,Checks who has logged in a computers on science network.
chk_passwd*,Checks to see if there is a passwd on accounts
chkset*,Checks for set bits 
chkwrt*,Checks for write bits for other than owner
chkwrt~*,Checks to see if others than the user can write
classList.pl*,Creates a list of nested classes for MBA code
clean_extra_monthly_logs.sh_bak*
clean_extra_monthly_logs.sh*
clean_extra_weekly_logs.sh*
client*,A binary file and unrunnable
cohort,List of people in the cohort.  Used in mail list testing
cohort.new,Much larger list of people with account on educational network
combine*,A binary file and unrunnable
configuration.pl,Creates a ~/.menu file that should run the menu sh script
connect.pl*,Seems to want to calculate connect tme, but input args unknown
cwis*,A binary file unrunnable
date_time,A perl script about date time, but used in menu program?
dcnm*,Some sort of script for sending mail?
ddmmyy.c*,A C program for printing out the time?
ddmmyy.c~*
ddmmyy*,Yes, it ran and printed out 11/23/11
ddmmyy~
diary*,Maintains a diary in ~/.diary
difftex.sh~
difftex*,Determines the changes between 2 versions, marks one of them as changed?
dir_prompt*,Creates a prompt line for csh ?
dir2tex*,Create a tex file with chapters being files in a directory?
dir2tex~*
DocumentsBackup.command*,A crude rotation of backups.
dodiff*,Creates a list of files with changes.  Something to do with RCS though
domap*,Binary file
dump.trash,Dumps the .NeXTTrash on a next machine
dups.pl*,Seems to go through a Next project and print some of the file names?
dups.sh*,Runs splitter.pl then sort then dups.pl?
dvidvi*,Binary file
ed.hup,Contains strange l comma $p  ?
emailStats*,Did some stats about who had received read replied etc.
enslave*,Manual startup of MandelSpawn server ?
example.ics,No clue some sort of information about an event
extract*,Binary file
faq-filer,Splits up comp.sys.next FAQ file into separate files
fix_*,Changes files with _ to -
fixit.sh*,generate passwords from make-Classxx program
fixstd,Some sort of fix for login problems on polaris?
force*,A script to kill self-propogating scripts
forloop.csh*,A sample for loop in csh
forloop.sh*,The same sample for loop in sh
fping*,Binary file
Ftp*,Under csh keeps a record of ftp sessions, does auto logins, etc.
geek_scripts/,A directory where geek scripts are kept
gen_tree*,Supposedly creates a tree structure by going through an  html site
